NBHD_NAME,pct_nhb,pct_hh_poverty,pct_hl,pct_less_hs_edu,pct_hh_snap,pct_under5,pct_65plus,pct_unemployed,pct_nhw,pct_no_insurance,alc_to_food,can_to_food,grocery_store_access,street_temp_pctile,transport_noise,tree_equity_score,pct_pre1980_housing,pm25,o3,pm10,no2,so2,co,life_exp,DEPRESSION,STROKE,CHD,SLEEP,CANCER,MHLTH,COPD,CASTHMA,COREM,CHECKUP,DIABETES,CSMOKING,GHLTH,HIGHCHOL,DENTAL,OBESITY,LPA,CERVICAL,BPHIGH,COREW,COLON_SCREEN,KIDNEY,ast_hosp,lbw_pct
Central Park,8.99289555429373,3.8205618090116573,10.546237349276863,1.977116804168476,2.838872373826781,8.977457496910384,6.499078125521894,3.474905641470991,66.88300878452854,1.7319015331173384,2.5,0.833333333333,56.51601218,0.780825992387167,49.26943070585139,73.86878300458437,3.0892715187548014,8.368735659,31.949452000000004,32.47184331851976,19.58077044967452,0.6984694092546374,0.3419476917511883,81.29999999999998,21.2130494371023,1.1913069016152718,1.8217425354870287,26.7869505628977,3.573920704845815,13.708693098384726,2.430435633871757,8.991306901615271,53.33987341772151,59.86089084679393,3.582613803230543,10.243465491923642,7.917386196769457,22.71740577581987,72.92176211453744,19.847821830641212,10.656514929025942,88.57292953269899,15.839148311306902,50.834810126582276,NA,1.4913069016152718,28.264445484408046,7.793576137112722
Chaffee Park,2.4,10,50,16.6,10.7,4.3,17.3,4,44.5,11,4,1,43.85330579,0.5389901477832513,52.49873691085868,75.97732947812815,80,8.07258159,30.2665567307176,24.107124072448585,19.33257864922268,0.6087723455829189,0.30963328842481674,80.5,20.5,2.6,4.5,26.899999999999995,5.6,14.800000000000002,4.7,9.4,43.4,63.29999999999999,8.4,13,17.5,31.200000000000003,61.79999999999999,23.1,20.8,83.2,23.8,38.2,NA,2.9,178.65,4.869
Cheesman Park,3.0827670987930267,9.519121591417077,4.5898636566830575,0.3451944568618686,8.062159141707646,0.10852704514975413,15.08238712561466,6.131090746535539,86.19156236030398,5.09646848457756,0,0,62.75888038,0.1802482269503546,51.52762770920657,100,82.27743629861422,8.069561785,30.605318,29.843873813327807,19.442090718321047,0.6428941745462776,0.37287008208299866,78.80367466354592,22.636286522148918,1.7545711592836948,3.3455096270364884,24.909061532247204,5.436448094789283,14.309021139087115,3.490938467752794,9.354530766123604,53.55163934426229,62.57289618957856,5.018244243974687,9.554530766123603,9.136407701629192,27.336569274269557,72.08187693550559,19.363632691530903,11.400040393160092,84.90257168620379,20.245671199676856,46.98934426229508,NA,2.054571159283695,12.029149405772495,10
Cherry Creek,1.9603298070939639,6.476197884256378,5.592065961418793,0.9841319228375855,1.5190883634100807,0.7920659614187927,35.13016490354698,5.074548848786558,83.93652769135035,2.3444617299315498,1,0.5,80.68425898,0.52564312267658,52.37651211583045,91.64477128607317,20.922464219041693,8.074036833979006,31.640093,30.294971334118276,20.00645769844097,0.6484519308691156,0.3793050429331048,82.3,20.6,2.4,4.7,23,8.6,11.8,4.3,9,56.1,68.6,6.2,8.2,9.7,33.7,76.4,18,12,87.1,25.7,47.9,NA,2.8,40.034109004739335,5.837599999999999
City Park,8.3,7.9,9.5,1.6,5.3,3.5,16.3,1.3,78.4,3.8,3,1,98.4375,0.21852755905511811,53.076223189410044,97.43048635068453,60,8.048911365148518,30.766186,30.154025522074942,19.65778288674228,0.6461997799091448,0.36240892596456226,73.9,22.6,1.8,3.1,25.4,5.2,14.5,3.3000000000000003,9.5,52.7,62.4,4.8,9.7,9.1,26.1,72.1,19.3,11.6,85.4,19.6,45.8,NA,2,29.815,9.483
City Park West,14.78842609657206,18.72030962034648,14.647106524143014,4.951713969775158,14.061629192775523,7.037301879837818,10.692443789163287,3.1226686325101363,64.81098415038701,6.351124216734242,0,0,53.49326599,0.42951461988304096,52.39799297180816,93.07613529058048,65.24662734979728,8.051972522468409,30.32044478921658,29.774559359815324,18.973860057019735,0.641958197,0.3611952037935051,77.11889591970326,23.116887417218543,2.2589403973509934,3.6294701986754965,28.15364238410596,4.829470198675497,16.22317880794702,4.270529801324503,10.370529801324503,46.71428571428572,63.38311258278146,6.67682119205298,13.129470198675497,12.758940397350994,27.429470198675496,65.7115894039735,22.49470198675497,15.117880794701987,83.96828778755598,23.21887417218543,42.426785714285714,NA,2.3589403973509935,91.69409915560917,14.017746268656717
Civic Center,9,9,17.1,0.19999999999999998,7.6000000000000005,2.3,7.5,3,68.3,1.1,0,0,99.61170848,0.6220754716981132,50.971635513419706,85.65684177577113,9.4,8.104255924478606,30.333972,29.613146320428303,19.88806184007602,0.6408700683661067,0.395524137,NA,22.5,1.5,2.9,26.2,4.5,14.8,3.3,9.3,52.9,60.9,4.8,10.7,9.2,26.3,70.4,20.1,11.7,84.5,19.1,49.6,NA,1.8,121.655,10.588
Clayton,10.6,23.4,51.6,24.8,11.9,7.2,6.4,7.3,32.2,15,1,0,0,0.5211285714285714,50.362434465950784,79.90182587536552,79.3,8.255813308876428,30.70457552930554,30.452871922303473,20.500059244492213,0.6509437880231154,0.34905853235304546,77.1,21.3,3.2,4.5,31.1,4.6,17.4,5.3,11.1,39.2,63.9,9.7,16.3,20.8,28.8,55.2,26.1,23,82.3,27,35.6,NA,3.1,87.175,12.57
Cole,10.4,12.5,46.8,17.1,16,7.400000000000001,6.2,5.8,39.7,13.3,0.75,0.75,41.59827214,0.6690124223602485,50.49305116931123,85.82757801884476,84.5,8.261472383228831,30.419641000000002,29.337470984484476,20.53955522675184,0.6406629323746976,0.347767481,75.1,22.4,2.7,4.2,30.4,4,18.2,5,10.8,37.2,61.9,9.5,16.9,21.2,28.3,53,27,24,81.1,24.6,34.8,NA,2.9,79.546,12.607
College View - South Platte,5.4,13.6,66.8,26.6,10.9,10.2,10.7,3.9,18,28.4,2,1.2,44.98171475,0.6139,53.671571179111226,80.3698465272458,63,8.024013405531395,34.813168999999995,30.2371300374804,20.675367914473483,0.6507907568366487,0.4038442557983764,74.90000000000002,22.800000000000004,2.8999999999999995,4.799999999999999,31.6,4,19.5,6.4,10.599999999999998,35.1,59.2,10.5,21.699999999999996,26.6,31.1,44.89999999999999,27.1,30.5,76,25,32.2,NA,2.8999999999999995,91.984,11.492
Congress Park,4.625539536915684,12.501179554390564,8.52948012232416,3.4106858890345126,8.017116644823068,6.02786369593709,9.309217999126256,3.3417387505460905,77.23335954565313,4.225714285714286,3,0,62.16486024,0.2355722222222222,51.52310300604697,99.41977948485042,86.49737876802097,8.037268211220267,31.06562250109625,30.185771232140173,19.75764189886004,0.6466782914598643,0.371110892,79.72948047955734,22.774739918176508,1.5639041496201054,2.7577440093512564,25.3885447106955,4.891069549970777,14.257124488603157,3.167936879018118,9.36603156049094,53.77426470588236,61.919719462302744,4.487679719462302,9.966674459380478,8.658386908240795,26.299754529514907,72.99084745762711,19.480257159555816,11.03864406779661,86.33160269748554,18.754751607247226,48.23272058823529,NA,1.8197428404441847,47.35342471910113,8.946098814229249
Cory - Merrill,0.4,3.9,5.1,0.7,1.5,6.8,13.7,4.5,84.7,1.8,2,1,51.57669695,0.2799354838709677,55.38297897259498,94.59746947721769,66.4,8.095721332889934,33.31134349082942,30.51543554096998,20.26680206212726,0.6526199927114241,0.3870127763446849,84.1,21.399999999999995,1.8999999999999997,3.6,24.3,6.599999999999999,12.800000000000002,3.6,9,56.4,64.6,5.099999999999999,9.4,8.9,29.8,75.1,18.8,11.300000000000002,88,21.600000000000005,48.3,NA,2.2,15.313,9.009
Country Club,1.1,2,7.7,0.5,0,4.8,25.3,2.9,88.7,1.1,0,0,95.94496741,0.05403738317757009,52.80038461567443,99.97990861982939,94.7,8.097937692913954,31.17023418342174,29.962456063782135,20.009369311337004,0.6446641907544152,0.38613137990766955,NA,20.3,1.9000000000000001,3.6,22.6,7.3999999999999995,11,3.4,8.8,57.9,67.4,5.2,7.2,7.6000000000000005,32.5,80.1,18,9.4,89.2,22.7,53.8,NA,2.2,7.062,10.714
